sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
27.900,Produksjon av annet elektrisk utstyr,28.490,Produksjon av maskinverktøy ikke nevnt annet sted
28.110,"Produksjon av motorer og turbiner, unntatt motorer til luftfartøy og motorvogner",28.110,"Produksjon av motorer og turbiner, unntatt motorer til luftfartøyer og motorvogner"
28.210,Produksjon av ovner og permanente varmeapparater til bruk i husholdninger,25.210,Produksjon av radiatorer og kjeler til sentralvarmeanlegg
28.210,Produksjon av ovner og permanente varmeapparater til bruk i husholdninger,28.210,Produksjon av industri- og laboratorieovner samt brennere
28.220,Produksjon av løfte- og håndteringsutstyr,28.221,Produksjon av løfte- og håndteringsutstyr til skip og båter
28.220,Produksjon av løfte- og håndteringsutstyr,28.229,Produksjon av løfte- og håndteringsutstyr ellers
28.230,"Produksjon av kontormaskiner og utstyr, unntatt datamaskiner og tilleggsutstyr",28.230,Produksjon av kontormaskiner og utstyr (unntatt datamaskiner og tilleggsutstyr)
28.250,"Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk",28.210,Produksjon av industri- og laboratorieovner samt brennere
28.250,"Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk",28.250,"Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk"
28.290,Produksjon av maskiner og utstyr til generell bruk ikke nevnt annet sted,28.290,"Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted"
28.300,Produksjon av jordbruks- og skogbruksmaskiner,28.300,Produksjon av jordbruks- og skogbruksmaskiner
28.300,Produksjon av jordbruks- og skogbruksmaskiner,28.920,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet
28.410,Produksjon av maskiner og maskinverktøy til metallbearbeiding,28.410,Produksjon av maskinverktøy til metallbearbeiding
28.410,Produksjon av maskiner og maskinverktøy til metallbearbeiding,28.490,Produksjon av maskinverktøy ikke nevnt annet sted
28.420,Produksjon av maskinverktøy ellers,28.490,Produksjon av maskinverktøy ikke nevnt annet sted
28.920,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet,28.920,Produksjon av maskiner og utstyr til bergverksdrift og bygge- og anleggsvirksomhet
28.930,"Produksjon av maskiner og utstyr til nærings-, nytelsesmiddel-, drikke- og tobakksindustri",28.290,"Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted"
28.930,"Produksjon av maskiner og utstyr til nærings-, nytelsesmiddel-, drikke- og tobakksindustri",28.930,Produksjon av maskiner og utstyr til nærings- og nytelsesmiddelindustri
