etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Slepebåter,1,2022-07-13,2022-07-13,1,0,SN2007,T1,50.203,Slepebåter,,,50.203,Slepebåter,direkte,false,,
"Smiing, stansing og valsing av metall, og pulvermetallurgi",1,2025-01-22,2025-01-22,1,0,SN2007,T1,25.500,"Smiing, stansing og valsing av metall, og pulvermetallurgi",25.400,"Smiing, stansing og valsing av metall, og pulvermetallurgi",25.500,"Smiing, stansing og valsing av metall, og pulvermetallurgi",direkte,false,false,25.400
"Snekkerarbeid
Reparasjon og vedlikehold av motorvogner",1,2026-02-18,2026-02-18,0,1,SN2025,,,,,,,,,,,
Begravelsesbyråvirksomhet og lignende tjenester,1,2026-07-07,2026-07-07,0,1,SN2025,T2,,,96.300,Begravelsesbyråvirksomhet og lignende tjenester,96.030,Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier,korrespondanse-1til1,false,false,96.300
Sosialtjenester for rusmiddelmisbrukere uten botilbud,1,2025-04-14,2025-04-14,1,0,SN2007,T1,88.997,Sosialtjenester for rusmiddelmisbrukere uten botilbud,,,88.997,Sosialtjenester for rusmiddelmisbrukere uten botilbud,direkte,false,,
"Bedriftsrådgivning og annen administrativ rådgivning
Telefon",1,2024-09-03,2024-09-03,1,0,SN2007,,,,,,,,,,,
Spesielle holdingselskaper,1,2024-10-07,2024-10-07,1,0,SN2007,T1,64.202,Spesielle holdingselskaper,64.220,Spesielle holdingselskaper,64.202,Spesielle holdingselskaper,direkte,false,false,64.220
Stukkatørarbeid og pussing,1,2024-03-01,2024-03-01,1,0,SN2007,T1,43.310,Stukkatørarbeid og pussing,43.310,Stukkatørarbeid og pussing,43.310,Stukkatørarbeid og pussing,direkte,true,true,43.310
Svinehold,1,2023-10-04,2023-10-04,1,0,SN2007,T1,01.460,Svinehold,01.460,Svinehold,01.460,Svinehold,direkte,false,false,01.460
"Avvirkning
Utleie av egen eller leid fast eiendom ellers",1,2020-05-22,2020-05-22,1,0,SN2007,,,,,,,,,,,
Telefonvakttjenester,1,2024-03-21,2024-03-21,1,0,SN2007,T1,82.201,Telefonvakttjenester,,,82.201,Telefonvakttjenester,direkte,false,,
Tjenester i seniorsentre,1,2026-08-11,2026-08-11,0,1,SN2025,T2,,,88.103,Tjenester i seniorsentre,88.103,Eldresentre,korrespondanse-1til1,false,false,88.103
"Agenturhandel med møbler, husholdningsvarer og jernvarer",1,2023-12-05,2023-12-05,1,0,SN2007,T1,46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer",46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer",46.150,"Agenturhandel med møbler, husholdningsvarer og jernvarer",direkte,false,false,46.150
Avlastningsboliger/-institusjoner,1,2022-12-01,2022-12-01,1,0,SN2007,T1,87.304,Avlastningsboliger/-institusjoner,,,87.304,Avlastningsboliger/-institusjoner,direkte,false,,
Asylmottak,1,2024-12-06,2024-12-06,1,0,SN2007,T1,88.996,Asylmottak,,,88.996,Asylmottak,direkte,false,,
"Tjenester tilknyttet skogbruk
Oppføring av bygninger",1,2023-06-13,2023-06-13,1,0,SN2007,,,,,,,,,,,
"Arkitekttjenester vedrørende byggverk
Byggeteknisk konsulent",1,2024-05-13,2024-05-13,1,0,SN2007,,,,,,,,,,,
Arbeidstrening for ordinært arbeidsmarked,1,2025-01-28,2025-01-28,1,0,SN2007,T1,88.993,Arbeidstrening for ordinært arbeidsmarked,,,88.993,Arbeidstrening for ordinært arbeidsmarked,direkte,false,,
Transportformidling ellers,1,2023-10-13,2023-10-13,1,0,SN2007,T1,52.299,Transportformidling ellers,,,52.299,Transportformidling ellers,direkte,false,,
Annet fjørfehold,1,2022-09-30,2022-09-30,1,0,SN2007,T1,01.479,Annet fjørfehold,01.479,Annet fjørfehold,01.479,Annet fjørfehold,direkte,false,false,01.479
Engroshandel med skipsutstyr og fiskeredskap,1,2025-08-21,2025-08-21,1,0,SN2007,T1,46.692,Engroshandel med skipsutstyr og fiskeredskap,,,46.692,Engroshandel med skipsutstyr og fiskeredskap,direkte,false,,
"Annen teknisk konsulentvirksomhet
Utleie av arbeidskraft",1,2020-06-09,2020-06-09,1,0,SN2007,,,,,,,,,,,
"Trykking ellers
Bokbinding og tilknyttede tjenester",1,2026-06-19,2026-06-19,0,1,SN2025,,,,,,,,,,,
"Trykking ellers
Kontortjenester",1,2026-06-19,2026-06-19,0,1,SN2025,,,,,,,,,,,
Turistkontorvirksomhet og destinasjonsselskaper,1,2024-11-20,2024-11-20,1,0,SN2007,T1,79.901,Turistkontorvirksomhet og destinasjonsselskaper,,,79.901,Turistkontorvirksomhet og destinasjonsselskaper,direkte,false,,
"Annen spesialisert bygge- og anleggsvirksomhet
Utleie og lea",1,2023-02-07,2023-02-07,1,0,SN2007,,,,,,,,,,,
"Undervisning innenfor kort høyere yrkesfaglig utdanning
Anne",1,2026-01-05,2026-01-05,0,1,SN2025,,,,,,,,,,,
Undervisning ved andre høgskoler,1,2023-09-04,2023-09-04,1,0,SN2007,T1,85.429,Undervisning ved andre høgskoler,85.403,Undervisning ved andre høgskoler,85.429,Undervisning ved andre høgskoler,direkte,false,false,85.403
Undervisning ved fagskoler,1,2025-02-12,2025-02-12,1,0,SN2007,T1,85.410,Undervisning ved fagskoler,,,85.410,Undervisning ved fagskoler,direkte,false,,
Annen bryting og utvinning ikke nevnt annet sted,1,2023-07-13,2023-07-13,1,0,SN2007,T1,08.990,Annen bryting og utvinning ikke nevnt annet sted,08.990,Annen bryting og utvinning ikke nevnt annet sted,08.990,Annen bryting og utvinning ikke nevnt annet sted,direkte,false,false,08.990
"Andre tjenester tilknyttet utvinning av råolje og naturgass
",1,2017-02-28,2017-02-28,1,0,SN2007,T1,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,direkte,false,false,09.109
Utenriks sjøfart med passasjerer,1,2023-09-07,2023-09-07,1,0,SN2007,T1,50.101,Utenriks sjøfart med passasjerer,50.101,Utenriks sjøfart med passasjerer,50.101,Utenriks sjøfart med passasjerer,direkte,false,false,50.101
Verdipapirmegling,1,2026-03-24,2026-03-24,0,1,SN2025,T1,66.120,Verdipapirmegling,66.120,Verdipapirmegling,66.120,Verdipapirmegling,direkte,false,false,66.120
"Voksenopplæringssentre
Annen undervisning ikke nevnt annet s",1,2025-04-08,2025-04-08,1,0,SN2007,,,,,,,,,,,
Andre tjenester tilknyttet sjøtransport,1,2026-05-04,2026-05-04,0,1,SN2025,T2,,,52.220,Andre tjenester tilknyttet sjøtransport,52.221|52.222|52.223|52.229,Drift av havne- og kaianlegg | Redningstjeneste | Forsyningsbaser | Tjenester tilknyttet sjøtransport ellers,korrespondanse-1tilmange,false,false,52.220
Andre tjenester tilknyttet lufttransport,1,2021-05-27,2021-05-27,1,0,SN2007,T1,52.230,Andre tjenester tilknyttet lufttransport,52.230,Andre tjenester tilknyttet lufttransport,52.230,Andre tjenester tilknyttet lufttransport,direkte,false,false,52.230
Andre tjenester tilknyttet finansieringsvirksomhet og kollek,1,2025-12-10,2025-12-10,0,1,SN2025,T2,,,66.190,Andre tjenester tilknyttet finansieringsvirksomhet og kollektive investeringsfond,66.190,Andre tjenester tilknyttet finansieringsvirksomhet,korrespondanse-1til1,false,false,66.190
"Engroshandel med klokker, ur og smykker",1,2026-04-08,2026-04-08,0,1,SN2025,T2,,,46.480,"Engroshandel med klokker, ur og smykker",46.481|46.482,Engroshandel med klokker og ur | Engroshandel med gull- og sølvvarer,korrespondanse-1tilmange,false,false,46.480
"Engroshandel med klær
Butikkhandel med klær",1,2024-08-06,2024-08-06,1,0,SN2007,,,,,,,,,,,
"Engroshandel med kjøkkenutstyr av porselen, glass og steintø",1,2026-02-26,2026-02-26,0,1,SN2025,T2,,,46.440,"Engroshandel med kjøkkenutstyr av porselen, glass og steintøy og rengjøringsmidler",46.441|46.442,"Engroshandel med kjøkkenutstyr, glass og steintøy | Engroshandel med rengjøringsmidler",korrespondanse-1tilmange,false,false,46.440
"Engroshandel med kaffe, te, kakao og krydder",1,2024-04-22,2024-04-22,1,0,SN2007,T1,46.370,"Engroshandel med kaffe, te, kakao og krydder",46.370,"Engroshandel med kaffe, te, kakao og krydder",46.370,"Engroshandel med kaffe, te, kakao og krydder",direkte,false,false,46.370
Engroshandel med gulvtepper,1,2025-04-23,2025-04-23,1,0,SN2007,T1,46.472,Engroshandel med gulvtepper,,,46.472,Engroshandel med gulvtepper,direkte,false,,
Engroshandel med gull- og sølvvarer,1,2025-01-06,2025-01-06,1,0,SN2007,T1,46.482,Engroshandel med gull- og sølvvarer,,,46.482,Engroshandel med gull- og sølvvarer,direkte,false,,
Engroshandel med optiske artikler,1,2025-01-28,2025-01-28,1,0,SN2007,T1,46.435,Engroshandel med optiske artikler,,,46.435,Engroshandel med optiske artikler,direkte,false,,
Engroshandel med fotoutstyr,1,2025-07-30,2025-07-30,1,0,SN2007,T1,46.434,Engroshandel med fotoutstyr,,,46.434,Engroshandel med fotoutstyr,direkte,false,,
"Engroshandel med parfyme og kosmetikk
Engroshandel med sykep",1,2025-03-06,2025-03-06,1,0,SN2007,,,,,,,,,,,
Annen trafikkskoleundervisning,1,2025-12-19,2025-12-19,0,1,SN2025,T2,,,85.532,Annen trafikkskoleundervisning,85.530,Trafikkskoleundervisning,korrespondanse-1til1,false,false,85.532
"Engroshandel med fargevarer
Butikkhandel med fargevarer",1,2023-12-19,2023-12-19,1,0,SN2007,,,,,,,,,,,
Engroshandel med deler og utstyr for motorvogner,1,2026-06-19,2026-06-19,0,1,SN2025,T2,,,46.720,Engroshandel med deler og utstyr for motorvogner,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",korrespondanse-1til1,false,false,46.720
"Engroshandel med belysningsutstyr
Butikkhandel med belysning",1,2023-06-30,2023-06-30,1,0,SN2007,,,,,,,,,,,
Etterbehandling av treprodukter,1,2025-10-27,2025-10-27,0,1,SN2025,T2,,,16.270,Etterbehandling av treprodukter,16.210|16.220|16.232|16.240|16.290,"Produksjon av finerplater og andre bygnings- og møbelplater av tre | Produksjon av sammensatte parkettstaver | Produksjon av bygningsartikler | Produksjon av treemballasje | Produksjon av andre trevarer og varer av kork, strå og flettematerialer",korrespondanse-1tilmange,false,false,16.270
Etterforskningstjenester og private vakttjenester,1,2026-03-12,2026-03-12,0,1,SN2025,T2,,,80.010,Etterforskningstjenester og private vakttjenester,80.100|80.300,Private vakttjenester | Etterforsking,korrespondanse-1tilmange,false,false,80.010
Filmframvisning,1,2024-10-18,2024-10-18,1,0,SN2007,T1,59.140,Filmframvisning,,,59.140,Filmframvisning,direkte,false,,
"Elektrisk installasjonsarbeid
Detaljhandel med deler og utst",1,2022-07-08,2022-07-08,1,0,SN2007,,,,,,,,,,,
"Dyrking av krydder og aromatiske, medisinske og farmasøytisk",1,2024-07-11,2024-07-11,1,0,SN2007,T1,01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",direkte,false,false,01.280
"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vek",1,2025-12-08,2025-12-08,0,1,SN2025,T2,,,01.110,"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",korrespondanse-1til1,false,false,01.110
Folkehøgskoleundervisning,1,2024-07-31,2024-07-31,1,0,SN2007,T1,85.591,Folkehøgskoleundervisning,,,85.591,Folkehøgskoleundervisning,direkte,false,,
Formidlingstjenester tilknyttet detaljhandel med bredt vareu,1,2025-10-23,2025-10-23,0,1,SN2025,T2,,,47.910,Formidlingstjenester tilknyttet detaljhandel med bredt vareutvalg,47.111|47.112|47.190|47.791|47.792|47.799|47.890|47.911|47.990|82.990,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Butikkhandel med bredt vareutvalg ellers | Butikkhandel med antikviteter | Butikkhandel med brukte klær | Butikkhandel med brukte varer ellers | Torghandel med andre varer | Postordre-/Internetthandel med bredt vareutvalg | Detaljhandel utenom utsalgssted ellers | Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse-1tilmange,false,false,47.910
Formidlingstjenester tilknyttet forretningsmessig tjenesteyt,1,2026-06-04,2026-06-04,0,1,SN2025,T2,,,82.400,Formidlingstjenester tilknyttet forretningsmessig tjenesteyting ikke nevnt annet sted,79.909|82.990,Turistrelaterte tjenester ikke nevnt annet sted | Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse-1tilmange,false,false,82.400
Formidlingstjenester tilknyttet kurs og veiledere,1,2026-03-30,2026-03-30,0,1,SN2025,T2,,,85.610,Formidlingstjenester tilknyttet kurs og veiledere,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse-1til1,false,false,85.610
"Dyrking av grønnsaker, meloner, rot- og knollvekster
Svineho",1,2025-10-15,2025-10-15,0,1,SN2025,,,,,,,,,,,
"Drosjebiltransport
Trafikkskoleundervisning",1,2023-09-11,2023-09-11,1,0,SN2007,,,,,,,,,,,
Forskning og utviklingsarbeid innen samfunnsvitenskap og hum,1,2023-05-12,2023-05-12,1,0,SN2007,T1,72.200,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,,,72.200,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,direkte,false,,
