etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Produksjon av plastemballasje,1,2024-07-03,2024-07-03,1,0,SN2007,T1,22.220,Produksjon av plastemballasje,22.220,Produksjon av plastemballasje,22.220,Produksjon av plastemballasje,direkte,false,false,22.220
Produksjon av raffinerte petroleumsprodukter,1,2024-12-17,2024-12-17,1,0,SN2007,T1,19.200,Produksjon av raffinerte petroleumsprodukter,,,19.200,Produksjon av raffinerte petroleumsprodukter,direkte,false,,
Produksjon av reiseeffekter og salmakerartikler,1,2024-07-04,2024-07-04,1,0,SN2007,T1,15.120,Produksjon av reiseeffekter og salmakerartikler,15.120,Produksjon av reiseeffekter og salmakerartikler,15.120,Produksjon av reiseeffekter og salmakerartikler,direkte,false,false,15.120
Produksjon av sider og annen fruktvin,1,2024-03-22,2024-03-22,1,0,SN2007,T1,11.030,Produksjon av sider og annen fruktvin,,,11.030,Produksjon av sider og annen fruktvin,direkte,false,,
Produksjon av skotøy,1,2023-10-12,2023-10-12,1,0,SN2007,T1,15.200,Produksjon av skotøy,15.200,Produksjon av skotøy,15.200,Produksjon av skotøy,direkte,false,false,15.200
Produksjon av smakstilsettingsstoffer og krydderier,1,2023-02-03,2023-02-03,1,0,SN2007,T1,10.840,Produksjon av smakstilsettingsstoffer og krydderier,10.840,Produksjon av smakstilsettingsstoffer og krydderier,10.840,Produksjon av smakstilsettingsstoffer og krydderier,direkte,false,false,10.840
Produksjon av spill og leker,1,2025-01-14,2025-01-14,1,0,SN2007,T1,32.400,Produksjon av spill og leker,32.400,Produksjon av spill og leker,32.400,Produksjon av spill og leker,direkte,false,false,32.400
Butikkhandel med trelast,1,2023-03-27,2023-03-27,1,0,SN2007,T1,47.524,Butikkhandel med trelast,,,47.524,Butikkhandel med trelast,direkte,false,,
Produksjon av stivelse og stivelsesprodukter,1,2024-04-05,2024-04-05,1,0,SN2007,T1,10.620,Produksjon av stivelse og stivelsesprodukter,10.620,Produksjon av stivelse og stivelsesprodukter,10.620,Produksjon av stivelse og stivelsesprodukter,direkte,false,false,10.620
Produksjon av teknisk glass og andre glassvarer,1,2024-04-15,2024-04-15,1,0,SN2007,T1,23.190,Produksjon av teknisk glass og andre glassvarer,23.150,Produksjon av teknisk glass og andre glassvarer,23.190,Produksjon av teknisk glass og andre glassvarer,direkte,false,false,23.150
Produksjon av tekstiler ikke nevnt annet sted,1,2026-06-17,2026-06-17,0,1,SN2025,T1,13.990,Produksjon av tekstiler ikke nevnt annet sted,13.990,Produksjon av tekstiler ikke nevnt annet sted,13.990,Produksjon av tekstiler ikke nevnt annet sted,direkte,false,false,13.990
Produksjon av tekstiler til teknisk og industriell bruk,1,2026-08-24,2026-08-24,0,1,SN2025,T1,13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.960,Produksjon av tekstiler til teknisk og industriell bruk,13.960,Produksjon av tekstiler til teknisk og industriell bruk,direkte,false,false,13.960
Produksjon av treemballasje,1,2024-03-12,2024-03-12,1,0,SN2007,T1,16.240,Produksjon av treemballasje,16.240,Produksjon av treemballasje,16.240,Produksjon av treemballasje,direkte,false,false,16.240
Produksjon av vin,1,2026-01-23,2026-01-23,0,1,SN2025,T1,11.020,Produksjon av vin,11.020,Produksjon av vin,11.020,Produksjon av vin,direkte,false,false,11.020
Produksjon av yngel og settefisk i ferskvannsbasert fiskeopp,1,2024-11-05,2024-11-05,1,0,SN2007,,,,,,,,,,,
Butikkhandel med tobakksvarer,1,2024-04-15,2024-04-15,1,0,SN2007,T1,47.260,Butikkhandel med tobakksvarer,,,47.260,Butikkhandel med tobakksvarer,direkte,false,,
"Butikkhandel med tekstiler og utstyrsvarer
Butikkhandel med",1,2024-04-18,2024-04-18,1,0,SN2007,,,,,,,,,,,
"Programmeringstjenester
Annen forretningsmessig tjenesteytin",1,2023-04-21,2023-04-21,1,0,SN2007,,,,,,,,,,,
Prøveboring,1,2025-11-18,2025-11-18,0,1,SN2025,T1,43.130,Prøveboring,43.130,Prøveboring,43.130,Prøveboring,direkte,true,true,43.130
Radiokringkasting og distribuering av musikk og andre lydmed,1,2026-05-05,2026-05-05,0,1,SN2025,T2,,,60.100,Radiokringkasting og distribuering av musikk og andre lydmedier,60.100,Radiokringkasting,korrespondanse-1til1,false,false,60.100
Redningstjeneste,1,2022-09-06,2022-09-06,1,0,SN2007,T1,52.222,Redningstjeneste,,,52.222,Redningstjeneste,direkte,false,,
Butikkhandel med tapeter og gulvbelegg,1,2024-03-27,2024-03-27,1,0,SN2007,T1,47.531,Butikkhandel med tapeter og gulvbelegg,,,47.531,Butikkhandel med tapeter og gulvbelegg,direkte,false,,
Butikkhandel med reiseeffekter av lær og lærimitasjoner og v,1,2024-11-28,2024-11-28,1,0,SN2007,T1,47.722,Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær,,,47.722,Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær,direkte,false,,
"Butikkhandel med møbler
Postordre-/Internetthandel med belys",1,2025-01-14,2025-01-14,1,0,SN2007,,,,,,,,,,,
Butikkhandel med medisinske og ortopediske artikler,1,2023-09-14,2023-09-14,1,0,SN2007,T1,47.740,Butikkhandel med medisinske og ortopediske artikler,,,47.740,Butikkhandel med medisinske og ortopediske artikler,direkte,false,,
"Butikkhandel med klær
Frisering og annen skjønnhetspleie",1,2024-03-26,2024-03-26,1,0,SN2007,,,,,,,,,,,
Butikkhandel med gardiner,1,2023-04-18,2023-04-18,1,0,SN2007,T1,47.533,Butikkhandel med gardiner,,,47.533,Butikkhandel med gardiner,direkte,false,,
Reparasjon av annet utstyr,1,2024-01-30,2024-01-30,1,0,SN2007,T1,33.190,Reparasjon av annet utstyr,,,33.190,Reparasjon av annet utstyr,direkte,false,,
Reparasjon av bearbeidede metallprodukter,1,2025-01-21,2025-01-21,1,0,SN2007,T1,33.110,Reparasjon av bearbeidede metallprodukter,,,33.110,Reparasjon av bearbeidede metallprodukter,direkte,false,,
