etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Utenriks sjøfart med gods,false,,8,2023-05-25,2026-05-12,6,2,begge,T1,SN2007,50.201,Utenriks sjøfart med gods,5,50.201,Utenriks sjøfart med gods,direkte SN2007,50,false,false,false,
Reisearrangørvirksomhet,false,,8,2022-10-10,2025-06-13,8,0,SN2007,T1,SN2007,79.120,Reisearrangørvirksomhet,5,79.120,Reisearrangørvirksomhet,direkte SN2007,79,false,false,false,
Bygging av vann- og kloakkanlegg,false,,8,2021-02-05,2026-03-04,6,2,begge,T1,SN2007,42.210,Bygging av vann- og kloakkanlegg,5,42.210,Bygging av vann- og kloakkanlegg,direkte SN2007,42,true,true,false,
Andre sportsaktiviteter,false,,8,2023-05-23,2025-08-25,8,0,SN2007,T1,SN2007,93.190,Andre sportsaktiviteter,5,93.190,Andre sportsaktiviteter,direkte SN2007,93,false,false,false,
Engroshandel med maskiner og utstyr til kraftproduksjon og i,false,,8,2023-05-11,2025-05-28,8,0,SN2007,T1,SN2007,46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon,5,46.691,Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon,direkte SN2007,46,false,false,false,
Eiendomsmegling og andre formidlingstjenester for eiendom,false,,8,2025-10-13,2026-07-01,0,8,SN2025,T2,SN2025,68.310,Eiendomsmegling og andre formidlingstjenester for eiendom,5,68.310,Eiendomsmegling,korrespondanse 1:1,68,false,false,false,
"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærv",false,,8,2022-12-06,2026-06-16,7,1,begge,T1,SN2007,46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",5,46.160,"Agenturhandel med tekstiler, klær, pelsskinn, skotøy og lærvarer",direkte SN2007,46,false,false,false,
Regnskapsføring og bokføring,false,,8,2025-10-16,2026-07-06,0,8,SN2025,T2,SN2025,69.202,Regnskapsføring og bokføring,5,69.201,Regnskap og bokføring,korrespondanse 1:1,69,false,false,false,
Reparasjon av kommunikasjonsutstyr,false,,8,2022-10-27,2025-07-02,8,0,SN2007,T1,SN2007,95.120,Reparasjon av kommunikasjonsutstyr,5,95.120,Reparasjon av kommunikasjonsutstyr,direkte SN2007,95,false,false,false,
Detaljhandel med brukte varer,false,,7,2025-09-01,2026-06-26,0,7,SN2025,T2,SN2025,47.790,Detaljhandel med brukte varer,5,47.791|47.792|47.799|47.820|47.890|47.911|47.912|47.913|47.914|47.915|47.916|47.919|47.990,"Butikkhandel med antikviteter | Butikkhandel med brukte klær | Butikkhandel med brukte varer ellers | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Torghandel med andre varer | Postordre-/Internetthandel med bredt vareutvalg | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Postordre-/internetthandel med bøker, papir, aviser og blader | Postordre-/Internetthandel med IKT-utstyr | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
