etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Utgivelse av programvare for dataspill,false,,4,2022-11-04,2026-02-02,3,1,begge,T1,SN2007,58.210,Utgivelse av programvare for dataspill,5,58.210,Utgivelse av programvare for dataspill,direkte SN2007,58,false,false,false,
Bygging av fritidsbåter,false,,4,2023-09-21,2025-02-04,4,0,SN2007,T1,SN2007,30.120,Bygging av fritidsbåter,5,30.120,Bygging av fritidsbåter,direkte SN2007,30,false,false,false,
Reparasjon av datamaskiner og tilleggsutstyr,false,,4,2023-05-19,2024-07-01,4,0,SN2007,T1,SN2007,95.110,Reparasjon av datamaskiner og tilleggsutstyr,5,95.110,Reparasjon av datamaskiner og tilleggsutstyr,direkte SN2007,95,false,false,false,
Barneverntjenester,false,,4,2025-09-10,2026-08-11,0,4,SN2025,T2,SN2025,88.991,Barneverntjenester,5,88.991,Barneverntjenester,identisk kode i begge standarder,88,false,false,false,
Detaljhandel med medisinske og ortopediske artikler,false,,4,2025-09-04,2026-03-27,0,4,SN2025,T2,SN2025,47.740,Detaljhandel med medisinske og ortopediske artikler,5,47.740|47.782|47.890|47.919|47.990,Butikkhandel med medisinske og ortopediske artikler | Butikkhandel med optiske artikler | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
"Psykolog- og psykoterapitjenester, unntatt legetjenester inn",false,,4,2025-10-16,2025-12-29,0,4,SN2025,T2,SN2025,86.930,"Psykolog- og psykoterapitjenester, unntatt legetjenester innenfor psykiatri",5,86.905|86.909,Klinisk psykologtjeneste | Andre helsetjenester,korrespondanse 1:n,86,false,false,false,
Andre sosialtjenester uten botilbud ellers,false,,4,2025-11-19,2026-07-21,0,4,SN2025,T2,SN2025,88.996,Andre sosialtjenester uten botilbud ellers,5,88.995|88.999,Sosiale velferdsorganisasjoner | Andre sosialtjenester uten botilbud,korrespondanse 1:n,88,false,false,false,
Produksjon av kjøtt- og fjørfevarer,false,,4,2021-08-09,2026-06-05,3,1,begge,T1,SN2007,10.130,Produksjon av kjøtt- og fjørfevarer,5,10.130,Produksjon av kjøtt- og fjørfevarer,direkte SN2007,10,false,false,false,
Kysttrafikk ellers med passasjerer,false,,4,2022-09-05,2024-09-04,4,0,SN2007,T1,SN2007,50.109,Kysttrafikk ellers med passasjerer,5,50.109,Kysttrafikk ellers med passasjerer,direkte SN2007,50,false,false,false,
Investeringsselskaper og lignende lukket for allmennheten,false,,4,2020-12-10,2023-09-18,4,0,SN2007,T6,,,,,,,,,,,,"Navn fra en tidligere utgave av SN2007 (før AIF-omleggingen av 64.30). Finnes ikke i Klass versjon 30 slik den står i dag. Ikke byggrelevant; beholdes i «øvrige» uten kode."
Engroshandel med kjøtt og kjøttvarer,false,,4,2024-01-03,2025-10-02,3,1,begge,T1,SN2007,46.320,Engroshandel med kjøtt og kjøttvarer,5,46.320,Engroshandel med kjøtt og kjøttvarer,direkte SN2007,46,false,false,false,
Bygging av bruer og tunneler,false,,4,2018-12-06,2023-04-14,4,0,SN2007,T1,SN2007,42.130,Bygging av bruer og tunneler,5,42.130,Bygging av bruer og tunneler,direkte SN2007,42,true,true,false,
"Engroshandel med kjøkkenutstyr, glass og steintøy",false,,4,2023-12-06,2025-06-10,4,0,SN2007,T1,SN2007,46.441,"Engroshandel med kjøkkenutstyr, glass og steintøy",5,46.441,"Engroshandel med kjøkkenutstyr, glass og steintøy",direkte SN2007,46,false,false,false,
"Detaljhandel med ur, klokker og smykker",false,,4,2026-02-19,2026-08-24,0,4,SN2025,T2,SN2025,47.770,"Detaljhandel med ur, klokker og smykker",5,47.771|47.772|47.890|47.919|47.990,Butikkhandel med ur og klokker | Butikkhandel med gull- og sølvvarer | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
"Engroshandel med korn, råtobakk, såvarer og fôrvarer",false,,4,2023-09-28,2025-06-10,4,0,SN2007,T1,SN2007,46.210,"Engroshandel med korn, råtobakk, såvarer og fôrvarer",5,46.210,"Engroshandel med korn, råtobakk, såvarer og fôrvarer",direkte SN2007,46,false,false,false,
Vedlikehold og reparasjon av motorsykler,false,,3,2025-01-03,2025-06-24,3,0,SN2007,T1,SN2007,45.403,Vedlikehold og reparasjon av motorsykler,5,45.403,Vedlikehold og reparasjon av motorsykler,direkte SN2007,45,false,false,false,
"Detaljhandel med tapet, gulvtepper og gulvbelegg",false,,3,2025-09-05,2026-01-22,0,3,SN2025,T2,SN2025,47.530,"Detaljhandel med tapet, gulvtepper og gulvbelegg",5,47.531|47.532|47.533|47.890|47.919|47.990,Butikkhandel med tapeter og gulvbelegg | Butikkhandel med tepper | Butikkhandel med gardiner | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
Produksjon av byggevarer av plast,false,,3,2023-05-31,2026-05-12,2,1,begge,T1,SN2007,22.230,Produksjon av byggevarer av plast,5,22.230,Produksjon av byggevarer av plast,direkte SN2007,22,false,false,false,
Produksjon av karosserier og tilhengere,false,,3,2021-12-10,2026-01-23,2,1,begge,T1,SN2007,29.200,Produksjon av karosserier og tilhengere,5,29.200,Produksjon av karosserier og tilhengere,direkte SN2007,29,false,false,false,
Produksjon av kjemiske produkter ikke nevnt annet sted,false,,3,2024-12-23,2025-02-07,3,0,SN2007,T1,SN2007,20.590,Produksjon av kjemiske produkter ikke nevnt annet sted,5,20.590,Produksjon av kjemiske produkter ikke nevnt annet sted,direkte SN2007,20,false,false,false,
Produksjon av yngel og settefisk i sjø og brakkvann,false,,3,2025-11-10,2026-02-02,0,3,SN2025,T2,SN2025,03.212,Produksjon av yngel og settefisk i sjø og brakkvann,5,03.212,Produksjon av yngel og settefisk i hav- og kystbasert akvakultur,korrespondanse 1:1,03,false,false,false,
Tjenester tilknyttet planteproduksjon,false,,3,2023-10-20,2025-10-07,2,1,begge,T1,SN2007,01.610,Tjenester tilknyttet planteproduksjon,5,01.610,Tjenester tilknyttet planteproduksjon,direkte SN2007,01,false,false,false,
Reparasjon av husholdningsvarer og hageredskaper,false,,3,2023-02-10,2023-12-20,3,0,SN2007,T1,SN2007,95.220,Reparasjon av husholdningsvarer og hageredskaper,5,95.220,Reparasjon av husholdningsvarer og hageredskaper,direkte SN2007,95,false,false,false,
"Detaljhandel med husholdningsredskaper og bestikk, servise,",false,,3,2026-02-26,2026-03-25,0,3,SN2025,T2,SN2025,47.553,"Detaljhandel med husholdningsredskaper og bestikk, servise, glassvarer, porselen og keramikk",5,47.593|47.890|47.913|47.990,"Butikkhandel med kjøkkenutstyr, glass og steintøy | Torghandel med andre varer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Tjenester tilknyttet vakttjenester,false,,3,2023-02-10,2024-10-16,3,0,SN2007,T1,SN2007,80.200,Tjenester tilknyttet vakttjenester,5,80.200,Tjenester tilknyttet vakttjenester,direkte SN2007,80,false,false,false,
Butikkhandel med fotoutstyr,false,,3,2024-11-29,2025-03-31,3,0,SN2007,T1,SN2007,47.781,Butikkhandel med fotoutstyr,5,47.781,Butikkhandel med fotoutstyr,direkte SN2007,47,false,false,false,
Oppsamling og behandling av avløpsvann,false,,3,2023-03-01,2026-03-16,1,2,begge,T1,SN2007,37.000,Oppsamling og behandling av avløpsvann,5,37.000,Oppsamling og behandling av avløpsvann,direkte SN2007,37,false,false,false,
Engroshandel med drivstoff og brensel,false,,3,2022-10-19,2025-08-12,3,0,SN2007,T1,SN2007,46.710,Engroshandel med drivstoff og brensel,5,46.710,Engroshandel med drivstoff og brensel,direkte SN2007,46,false,false,false,
Etterbehandling av tekstiler,false,,3,2023-06-30,2026-06-12,2,1,begge,T1,SN2007,13.300,Etterbehandling av tekstiler,5,13.300,Etterbehandling av tekstiler,direkte SN2007,13,false,false,false,
Trådløs telekommunikasjon,false,,3,2024-01-30,2025-04-08,3,0,SN2007,T1,SN2007,61.200,Trådløs telekommunikasjon,5,61.200,Trådløs telekommunikasjon,direkte SN2007,61,false,false,false,
Annen spesialisert byggevirksomhet i forbindelse med oppføri,false,,3,2025-09-05,2026-08-11,0,3,SN2025,T2,SN2025,43.420,Annen spesialisert byggevirksomhet i forbindelse med oppføring av bygninger,5,43.990,Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse 1:1,43,true,true,false,
Detaljhandel med fritidsbåter og tilhørende utstyr,false,,3,2025-10-30,2026-06-23,0,3,SN2025,T2,SN2025,47.632,Detaljhandel med fritidsbåter og tilhørende utstyr,5,47.642|47.890|47.919|47.990,Butikkhandel med fritidsbåter og -utstyr | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
Annen rengjøringsvirksomhet og snømåking,false,,3,2025-11-27,2026-07-13,0,3,SN2025,T2,SN2025,81.230,Annen rengjøringsvirksomhet og snømåking,5,81.291|81.299,Skadedyrkontroll | Annen rengjøringsvirksomhet ikke nevnt annet sted,korrespondanse 1:n,81,false,false,false,
Reparasjon og vedlikehold av datamaskiner og kommunikasjonsu,false,,3,2025-10-07,2026-08-05,0,3,SN2025,T2,SN2025,95.100,Reparasjon og vedlikehold av datamaskiner og kommunikasjonsutstyr,5,95.110|95.120,Reparasjon av datamaskiner og tilleggsutstyr | Reparasjon av kommunikasjonsutstyr,korrespondanse 1:n,95,false,false,false,
Undervisning ved godkjente trafikkskoler,false,,3,2025-10-14,2026-08-05,0,3,SN2025,T2,SN2025,85.531,Undervisning ved godkjente trafikkskoler,5,85.530,Trafikkskoleundervisning,korrespondanse 1:1,85,false,false,false,
Annen rengjøringsvirksomhet ikke nevnt annet sted,false,,3,2023-06-13,2025-07-07,3,0,SN2007,T1,SN2007,81.299,Annen rengjøringsvirksomhet ikke nevnt annet sted,5,81.299,Annen rengjøringsvirksomhet ikke nevnt annet sted,direkte SN2007,81,false,false,false,
"Detaljhandel med bakervarer, konditorvarer og sukkervarer",false,,3,2025-09-19,2026-02-17,0,3,SN2025,T2,SN2025,47.240,"Detaljhandel med bakervarer, konditorvarer og sukkervarer",5,47.241|47.242|47.810|47.919|47.990,"Butikkhandel med bakervarer og konditorvarer | Butikkhandel med sukkervarer | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Bygging av havne- og damanlegg,false,,3,2022-09-23,2024-10-09,3,0,SN2007,T1,SN2007,42.910,Bygging av havne- og damanlegg,5,42.910,Bygging av havne- og damanlegg,direkte SN2007,42,true,true,false,
"Butikkhandel med fisk, skalldyr og bløtdyr",false,,3,2022-06-01,2025-02-10,3,0,SN2007,T1,SN2007,47.230,"Butikkhandel med fisk, skalldyr og bløtdyr",5,47.230,"Butikkhandel med fisk, skalldyr og bløtdyr",direkte SN2007,47,false,false,false,
"Agenturhandel med tømmer, trelast og byggevarer",false,,3,2022-06-02,2025-03-07,3,0,SN2007,T1,SN2007,46.130,"Agenturhandel med tømmer, trelast og byggevarer",5,46.130,"Agenturhandel med tømmer, trelast og byggevarer",direkte SN2007,46,false,false,false,
"Distribusjon av film, video og fjernsynsprogrammer",false,,3,2024-11-04,2025-07-08,3,0,SN2007,T1,SN2007,59.130,"Distribusjon av film, video og fjernsynsprogrammer",5,59.130,"Distribusjon av film, video og fjernsynsprogrammer",direkte SN2007,59,false,false,false,
Andre sosialtjenester uten botilbud,false,,3,2024-07-23,2025-08-08,3,0,SN2007,T1,SN2007,88.999,Andre sosialtjenester uten botilbud,5,88.999,Andre sosialtjenester uten botilbud,direkte SN2007,88,false,false,false,
Kantinedrift og annen cateringvirksomhet,false,,3,2026-02-09,2026-08-24,0,3,SN2025,T2,SN2025,56.220,Kantinedrift og annen cateringvirksomhet,5,56.290,Kantiner drevet som selvstendig virksomhet,korrespondanse 1:1,56,false,false,false,
Engroshandel med maskiner og utstyr til kontor ellers,false,,3,2024-01-15,2024-12-06,3,0,SN2007,T1,SN2007,46.660,Engroshandel med maskiner og utstyr til kontor ellers,5,46.660,Engroshandel med maskiner og utstyr til kontor ellers,direkte SN2007,46,false,false,false,
Butikkhandel med bakervarer og konditorvarer,false,,3,2022-11-04,2025-03-05,3,0,SN2007,T1,SN2007,47.241,Butikkhandel med bakervarer og konditorvarer,5,47.241,Butikkhandel med bakervarer og konditorvarer,direkte SN2007,47,false,false,false,
Detaljhandel med bøker,false,,3,2025-09-11,2026-03-31,0,3,SN2025,T2,SN2025,47.610,Detaljhandel med bøker,5,47.610|47.890|47.915|47.990,"Butikkhandel med bøker | Torghandel med andre varer | Postordre-/internetthandel med bøker, papir, aviser og blader | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Andre informasjonstjenester ikke nevnt annet sted,false,,3,2022-10-12,2025-07-07,3,0,SN2007,T1,SN2007,63.990,Andre informasjonstjenester ikke nevnt annet sted,5,63.990,Andre informasjonstjenester ikke nevnt annet sted,direkte SN2007,63,false,false,false,
Medieformidlingstjenester,false,,3,2023-04-26,2025-03-18,3,0,SN2007,T1,SN2007,73.120,Medieformidlingstjenester,5,73.120,Medieformidlingstjenester,direkte SN2007,73,false,false,false,
Postordre-/Internetthandel med helsekost,false,,3,2023-11-15,2024-12-17,3,0,SN2007,T1,SN2007,47.917,Postordre-/Internetthandel med helsekost,5,47.917,Postordre-/Internetthandel med helsekost,direkte SN2007,47,false,false,false,
Skipsmegling,false,,3,2023-06-21,2025-02-11,3,0,SN2007,T1,SN2007,52.292,Skipsmegling,5,52.292,Skipsmegling,direkte SN2007,52,false,false,false,
Bryting av stein til bygge- og anleggsvirksomhet,false,,3,2024-02-01,2025-08-15,3,0,SN2007,T1,SN2007,08.111,Bryting av stein til bygge- og anleggsvirksomhet,5,08.111,Bryting av stein til bygge- og anleggsvirksomhet,direkte SN2007,08,false,false,false,
Forebyggende helsearbeid,false,,3,2025-12-12,2026-05-22,0,3,SN2025,T2,SN2025,86.992,Forebyggende helsearbeid,5,86.904,Annen forebyggende helsetjeneste,korrespondanse 1:1,86,false,false,false,
Butikkhandel med musikkinstrumenter og noter,false,,3,2023-01-23,2024-07-26,3,0,SN2007,T1,SN2007,47.594,Butikkhandel med musikkinstrumenter og noter,5,47.594,Butikkhandel med musikkinstrumenter og noter,direkte SN2007,47,false,false,false,
Behandling og disponering av ikke-farlig avfall,false,,3,2023-06-09,2025-08-19,3,0,SN2007,T1,SN2007,38.210,Behandling og disponering av ikke-farlig avfall,5,38.210,Behandling og disponering av ikke-farlig avfall,direkte SN2007,38,false,false,false,
"Uttak fra kilde, rensing og distribusjon av vann",false,,3,2022-09-26,2025-04-08,3,0,SN2007,T1,SN2007,36.000,"Uttak fra kilde, rensing og distribusjon av vann",5,36.000,"Uttak fra kilde, rensing og distribusjon av vann",direkte SN2007,36,false,false,false,
Begravelsesbyråvirksomhet og drift av kirkegårder og kremato,false,,3,2023-02-08,2024-08-27,3,0,SN2007,T1,SN2007,96.030,Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier,5,96.030,Begravelsesbyråvirksomhet og drift av kirkegårder og krematorier,direkte SN2007,96,false,false,false,
Butikkhandel med gull- og sølvvarer,false,,3,2023-12-06,2025-07-22,3,0,SN2007,T1,SN2007,47.772,Butikkhandel med gull- og sølvvarer,5,47.772,Butikkhandel med gull- og sølvvarer,direkte SN2007,47,false,false,false,
Fysioterapitjeneste,false,,3,2023-03-17,2023-10-03,3,0,SN2007,T1,SN2007,86.902,Fysioterapitjeneste,5,86.902,Fysioterapitjeneste,direkte SN2007,86,false,false,false,
Bearbeiding av te og kaffe,false,,3,2024-04-23,2026-06-22,2,1,begge,T1,SN2007,10.830,Bearbeiding av te og kaffe,5,10.830,Bearbeiding av te og kaffe,direkte SN2007,10,false,false,false,
Takseringsvirksomhet,false,,3,2022-01-18,2025-03-18,3,0,SN2007,T1,SN2007,74.901,Takseringsvirksomhet,5,74.901,Takseringsvirksomhet,direkte SN2007,74,false,false,false,
Bearbeiding av planglass,false,,3,2025-10-17,2026-02-13,0,3,SN2025,T2,SN2025,23.120,Bearbeiding av planglass,5,23.120,Bearbeiding av planglass,korrespondanse 1:1,23,false,false,false,
Omsorgsinstitusjoner ellers,false,,2,2023-06-05,2023-08-22,2,0,SN2007,T1,SN2007,87.909,Omsorgsinstitusjoner ellers,5,87.909,Omsorgsinstitusjoner ellers,direkte SN2007,87,false,false,false,
Produksjon av planglass,false,,2,2025-11-03,2026-03-20,0,2,SN2025,T2,SN2025,23.110,Produksjon av planglass,5,23.110,Produksjon av planglass,identisk kode i begge standarder,23,false,false,false,
Produksjon av pumper og kompressorer ellers,false,,2,2017-09-14,2026-07-23,1,1,begge,T1,SN2007,28.130,Produksjon av pumper og kompressorer ellers,5,28.130,Produksjon av pumper og kompressorer ellers,direkte SN2007,28,false,false,false,
Familieverntjenester,false,,2,2024-09-24,2025-04-09,2,0,SN2007,T1,SN2007,88.992,Familieverntjenester,5,88.992,Familieverntjenester,direkte SN2007,88,false,false,false,
"Produksjon av saltfisk, tørrfisk og klippfisk",false,,2,2019-03-06,2024-11-13,2,0,SN2007,T1,SN2007,10.201,"Produksjon av saltfisk, tørrfisk og klippfisk",5,10.201,"Produksjon av saltfisk, tørrfisk og klippfisk",direkte SN2007,10,false,false,false,
Kart og oppmåling,false,,2,2024-04-09,2024-08-09,2,0,SN2007,T1,SN2007,71.123,Kart og oppmåling,5,71.123,Kart og oppmåling,direkte SN2007,71,false,false,false,
Produksjon av spesialmaskiner ikke nevnt annet sted,false,,2,2023-08-01,2025-01-30,2,0,SN2007,T1,SN2007,28.990,Produksjon av spesialmaskiner ikke nevnt annet sted,5,28.990,Produksjon av spesialmaskiner ikke nevnt annet sted,direkte SN2007,28,false,false,false,
Kombinerte kontortjenester,false,,2,2024-04-09,2024-11-19,2,0,SN2007,T1,SN2007,82.110,Kombinerte kontortjenester,5,82.110,Kombinerte kontortjenester,direkte SN2007,82,false,false,false,
"Produksjon av såpe og vaskemidler, rense- og polermidler",false,,2,2023-09-06,2025-05-28,2,0,SN2007,T1,SN2007,20.410,"Produksjon av såpe og vaskemidler, rense- og polermidler",5,20.410,"Produksjon av såpe og vaskemidler, rense- og polermidler",direkte SN2007,20,false,false,false,
Engroshandel med skotøy,false,,2,2024-03-15,2024-11-07,2,0,SN2007,T1,SN2007,46.422,Engroshandel med skotøy,5,46.422,Engroshandel med skotøy,direkte SN2007,46,false,false,false,
Produksjon av andre metallvarer ikke nevnt annet sted,false,,2,2026-06-03,2026-06-03,0,2,SN2025,T2,SN2025,25.990,Produksjon av andre metallvarer ikke nevnt annet sted,5,25.990,Produksjon av metallvarer ikke nevnt annet sted,korrespondanse 1:1,25,false,false,false,
Produksjon av utstyrsvarer,false,,2,2024-10-28,2025-03-19,2,0,SN2007,T1,SN2007,13.921,Produksjon av utstyrsvarer,5,13.921,Produksjon av utstyrsvarer,direkte SN2007,13,false,false,false,
Produksjon av varer av papir og papp ellers,false,,2,2024-05-14,2024-08-16,2,0,SN2007,T1,SN2007,17.290,Produksjon av varer av papir og papp ellers,5,17.290,Produksjon av varer av papir og papp ellers,direkte SN2007,17,false,false,false,
Produksjon av andre spesialmaskiner ikke nevnt annet sted,false,,2,2026-04-09,2026-07-22,0,2,SN2025,T2,SN2025,28.990,Produksjon av andre spesialmaskiner ikke nevnt annet sted,5,28.990,Produksjon av spesialmaskiner ikke nevnt annet sted,korrespondanse 1:1,28,false,false,false,
Produksjon av yttertøy,false,,2,2025-12-02,2026-03-16,0,2,SN2025,T2,SN2025,14.210,Produksjon av yttertøy,5,14.130|14.140|14.190,Produksjon av annet yttertøy | Produksjon av undertøy og innertøy | Produksjon av klær og tilbehør ellers,korrespondanse 1:n,14,false,false,false,
Detaljhandel med skotøy og lærvarer,false,,2,2025-12-30,2026-01-06,0,2,SN2025,T2,SN2025,47.720,Detaljhandel med skotøy og lærvarer,5,47.721|47.722|47.820|47.912|47.990,"Butikkhandel med skotøy | Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Produksjon av andre uorganiske kjemikalier,false,,2,2023-08-22,2024-12-17,2,0,SN2007,T1,SN2007,20.130,Produksjon av andre uorganiske kjemikalier,5,20.130,Produksjon av andre uorganiske kjemikalier,direkte SN2007,20,false,false,false,
"Engroshandel med bøker, aviser og blader",false,,2,2023-12-06,2024-05-28,2,0,SN2007,T1,SN2007,46.491,"Engroshandel med bøker, aviser og blader",5,46.491,"Engroshandel med bøker, aviser og blader",direkte SN2007,46,false,false,false,
Bygging av skip under 100 br.tonn,false,,2,2023-07-05,2023-07-11,2,0,SN2007,T1,SN2007,30.112,Bygging av skip under 100 br.tonn,5,30.112,Bygging av skip under 100 br.tonn,direkte SN2007,30,false,false,false,
Guide- og reiseledervirksomhet,false,,2,2026-05-04,2026-06-08,0,2,SN2025,T2,SN2025,79.902,Guide- og reiseledervirksomhet,5,79.902,Guider og reiseledere,korrespondanse 1:1,79,false,false,false,
Reisearrangørvirksomhet ellers,false,,2,2025-09-16,2025-12-16,0,2,SN2025,T2,SN2025,79.122,Reisearrangørvirksomhet ellers,5,79.120,Reisearrangørvirksomhet,korrespondanse 1:1,79,false,false,false,
Produksjon av bijouteri og lignende artikler,false,,2,2022-12-14,2025-06-16,2,0,SN2007,T1,SN2007,32.130,Produksjon av bijouteri og lignende artikler,5,32.130,Produksjon av bijouteri og lignende artikler,direkte SN2007,32,false,false,false,
Produksjon av brød og ferske konditorvarer \n Butikkhandel med,true,Produksjon av brød og ferske konditorvarer,2,2022-06-22,2025-08-25,2,0,SN2007,T1,SN2007,10.710,Produksjon av brød og ferske konditorvarer,5,10.710,Produksjon av brød og ferske konditorvarer,direkte SN2007,10,false,false,false,
Butikkhandel med frukt og grønnsaker,false,,2,2023-06-21,2023-06-23,2,0,SN2007,T1,SN2007,47.210,Butikkhandel med frukt og grønnsaker,5,47.210,Butikkhandel med frukt og grønnsaker,direkte SN2007,47,false,false,false,
Engroshandel med spill og leker,false,,2,2023-03-02,2024-10-09,2,0,SN2007,T1,SN2007,46.495,Engroshandel med spill og leker,5,46.495,Engroshandel med spill og leker,direkte SN2007,46,false,false,false,
Logistikktjenester,false,,2,2026-02-16,2026-06-09,0,2,SN2025,T2,SN2025,52.250,Logistikktjenester,5,52.291|52.299,Spedisjon | Transportformidling ellers,korrespondanse 1:n,52,false,false,false,
Utøvende kunstnere og underholdningsvirksomhet innen musikk,false,,2,2023-09-11,2023-12-22,2,0,SN2007,T1,SN2007,90.011,Utøvende kunstnere og underholdningsvirksomhet innen musikk,5,90.011,Utøvende kunstnere og underholdningsvirksomhet innen musikk,direkte SN2007,90,false,false,false,
Reparasjon av møbler og boliginnredning,false,,2,2023-11-28,2025-02-21,2,0,SN2007,T1,SN2007,95.240,Reparasjon av møbler og boliginnredning,5,95.240,Reparasjon av møbler og boliginnredning,direkte SN2007,95,false,false,false,
Lotteri- og gamblingvirksomhet,false,,2,2025-11-07,2026-01-21,0,2,SN2025,T2,SN2025,92.000,Lotteri- og gamblingvirksomhet,5,92.000,Lotteri og totalisatorspill,korrespondanse 1:1,92,false,false,false,
Lufttransport med passasjerer \n Lufttransport med gods,true,Lufttransport med passasjerer,2,2021-09-01,2025-03-03,2,0,SN2007,T1,SN2007,51.100,Lufttransport med passasjerer,5,51.100,Lufttransport med passasjerer,direkte SN2007,51,false,false,false,
Produksjon av elektriske fordelings- og kontrolltavler og pa,false,,2,2023-06-02,2026-06-22,1,1,begge,T1,SN2007,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,5,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,direkte SN2007,27,false,false,false,
Detaljhandel med motorsykler og tilhørende deler og utstyr,false,,2,2025-10-01,2025-12-22,0,2,SN2025,T2,SN2025,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,5,45.402,"Detaljhandel med motorsykler, deler og utstyr",korrespondanse 1:1,45,false,false,false,
Hjemmehjelp,false,,2,2023-02-24,2023-09-12,2,0,SN2007,T1,SN2007,88.101,Hjemmehjelp,5,88.101,Hjemmehjelp,direkte SN2007,88,false,false,false,
Butikkhandel med belysningsutstyr,false,,2,2023-06-02,2023-10-16,2,0,SN2007,T1,SN2007,47.592,Butikkhandel med belysningsutstyr,5,47.592,Butikkhandel med belysningsutstyr,direkte SN2007,47,false,false,false,
Produksjon av ferdigblandet betong,false,,2,2023-06-08,2026-02-05,1,1,begge,T1,SN2007,23.630,Produksjon av ferdigblandet betong,5,23.630,Produksjon av ferdigblandet betong,direkte SN2007,23,false,false,false,
Riving av bygninger og andre byggverk,false,,2,2025-09-15,2026-01-21,0,2,SN2025,T2,SN2025,43.110,Riving av bygninger og andre byggverk,5,43.110,Riving av bygninger og andre konstruksjoner,korrespondanse 1:1,43,true,true,false,
Butikkhandel med audio- og videoutstyr,false,,2,2023-09-06,2024-06-06,2,0,SN2007,T1,SN2007,47.430,Butikkhandel med audio- og videoutstyr,5,47.430,Butikkhandel med audio- og videoutstyr,direkte SN2007,47,false,false,false,
Drift av vandrerhjem,false,,2,2022-03-29,2025-04-03,2,0,SN2007,T1,SN2007,55.201,Drift av vandrerhjem,5,55.201,Drift av vandrerhjem,direkte SN2007,55,false,false,false,
Fondsforvaltningsvirksomhet,false,,2,2023-12-21,2026-03-10,1,1,begge,T1,SN2007,66.300,Fondsforvaltningsvirksomhet,5,66.300,Fondsforvaltningsvirksomhet,direkte SN2007,66,false,false,false,
Husdyrhold ikke nevnt annet sted,false,,2,2025-09-29,2025-11-28,0,2,SN2025,T2,SN2025,01.489,Husdyrhold ikke nevnt annet sted,5,01.490|03.222,Husdyrhold ellers | Produksjon av yngel og settefisk i ferskvannsbasert akvakultur,korrespondanse 1:n,01|03,false,false,false,
Produksjon av halvfabrikater av plast,false,,2,2023-06-28,2025-06-05,2,0,SN2007,T1,SN2007,22.210,Produksjon av halvfabrikater av plast,5,22.210,Produksjon av halvfabrikater av plast,direkte SN2007,22,false,false,false,
Spesialisert byggevirksomhet i forbindelse med anleggsarbeid,false,,2,2025-11-03,2026-04-20,0,2,SN2025,T2,SN2025,43.500,Spesialisert byggevirksomhet i forbindelse med anleggsarbeid,5,42.110|43.990,Bygging av veier og motorveier | Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse 1:n,42|43,true,true,false,
Engroshandel med avfall og skrap,false,,2,2024-01-22,2024-05-10,2,0,SN2007,T1,SN2007,46.770,Engroshandel med avfall og skrap,5,46.770,Engroshandel med avfall og skrap,direkte SN2007,46,false,false,false,
Spesialisert rusbehandling,false,,2,2025-10-22,2025-10-27,0,2,SN2025,T2,SN2025,86.103,Spesialisert rusbehandling,5,86.106|86.225,Rusmiddelinstitusjoner | Rusmiddelpoliklinikker,korrespondanse 1:n,86,false,false,false,
